id,name,desc
x-mitre-data-component--7f70fae7-a68d-4730-a83a-f260b9606129,Windows Registry Key Creation,Initial construction of a new Registry Key (ex: Windows EID 4656 or Sysmon EID 12)
x-mitre-data-component--d2ff4b56-8351-4ed8-b0fb-d8605366005f,Firewall Rule Modification,"Changes made to a firewall rule, typically to allow/block specific network traffic (ex: Windows EID 4950 or Write/Delete entries within Azure Firewall Rule Collection Activity Logs)"
x-mitre-data-component--c97d0171-f6e0-4415-85ff-4082fdb8c72a,Firewall Disable,Deactivation or stoppage of a cloud service (ex: Write/Delete entries within Azure Firewall Activity Logs)
x-mitre-data-component--da85d358-741a-410d-9433-20d6269a6170,Windows Registry Key Modification,Changes made to a Registry Key and/or Key value (ex: Windows EID 4657 or Sysmon EID 13|14)
x-mitre-data-component--61f1d40e-f3d0-4cc6-aa2d-937b6204194f,Process Termination,Exit of a running process (ex: Sysmon EID 5 or Windows EID 4689)
x-mitre-data-component--1177a4c5-31c8-400c-8544-9071166afa0e,Windows Registry Key Deletion,Removal of a Registry Key (ex: Windows EID 4658 or Sysmon EID 12)
x-mitre-data-component--74fa567d-bc90-425c-8a41-3c703abb221c,Service Metadata,"Contextual data about a service/daemon, which may include information such as name, service executable, start type, etc."
x-mitre-data-component--639e87f3-acb6-448a-9645-258f20da4bc5,File Metadata,"Contextual data about a file, which may include information such as name, the content (ex: signature, headers, or data/media), user/ower, permissions, etc."
x-mitre-data-component--ee575f4a-2d4f-48f6-b18b-89067760adc1,Process Metadata,"Contextual data about a running process, which may include information such as environment variables, image name, user/owner, etc."
x-mitre-data-component--3551476e-14f5-4e48-a518-e82135329e03,Driver Load,Attaching a driver to either user or kernel-mode of a system (ex: Sysmon EID 6)
x-mitre-data-component--071a09b1-8945-46fd-8bb7-6bcc89400963,Image Modification,"Changes made to a virtual machine image, including setting and/or control data (ex: Azure Compute Service Images PATCH)"
x-mitre-data-component--b5b0e8ae-7436-4951-950a-7b83c4dd3f2c,Instance Creation,Initial construction of a new instance (ex: instance.insert within GCP Audit Logs)
x-mitre-data-component--f8213cde-6b3a-420d-9ab7-41c9af1a919f,Instance Start,Activation or invocation of an instance (ex: instance.start within GCP Audit Logs)
x-mitre-data-component--5297a638-1382-4f0c-8472-0d21830bf705,Service Creation,Initial construction of a new service/daemon (ex: Windows EID 4697 or /var/log daemon logs)
x-mitre-data-component--7b375092-3a61-448d-900a-77c9a4bde4dc,Scheduled Job Metadata,"Contextual data about a scheduled job, which may include information such as name, timing, command(s), etc."
x-mitre-data-component--faa34cf6-cf32-4dc9-bd6a-8f7a606ff65b,Scheduled Job Modification,"Changes made to a scheduled job, such as modifications to the execution launch (ex: Windows EID 4702 or /var/log cron logs)"
x-mitre-data-component--b597a220-6510-4397-b0d8-342cd2c58827,Image Metadata,"Contextual data about a virtual machine image such as name, resource group, state, or type"
x-mitre-data-component--8c826308-2760-492f-9e36-4f0f7e23bcac,Cloud Service Enumeration,An extracted list of cloud services (ex: AWS ECS ListServices)
